Issue_ID,Issue_Type,Summary,Description,Priority,Status,Component,Labels,Preconditions,Test_Steps,Expected_Result,Actual_Result,Test_Data
VWO-TC-0001,Test,Verify stopping an A/B test,Test covers: A/B Testing. Verify stopping an A/B test. Validates correct system behavior under Staging environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: Windows 11
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open a running test
2. Click 'Stop'
3. Select winner variation
4. Confirm",Test stops. Winner variation noted. Status: 'Completed'.,,Running test with 2 variations
VWO-TC-0002,Test,Verify quick action buttons on dashboard,Test covers: Dashboard. Verify quick action buttons on dashboard. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login to VWO
2. On dashboard, click 'Create Test' quick action
3. Observe behavior",Test creation wizard opens.,,N/A
VWO-TC-0003,Test,Verify pausing a running A/B test,Test covers: A/B Testing. Verify pausing a running A/B test. Validates correct system behavior under Staging environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Viewer role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Click 'Pause' button
3. Confirm dialog",Test status changes to 'Paused'. Variations stop serving.,,Running test: 'Homepage CTA Test'
VWO-TC-0004,Test,Verify dashboard recent activity feed,Test covers: Dashboard. Verify dashboard recent activity feed. Validates correct system behavior under Staging environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Viewer role)
2. Browser: Safari 17, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Login
2. Scroll to 'Recent Activity' section
3. Verify entries","Feed shows last 10 actions with timestamps, user names, and action descriptions.",,Account with recent activity
VWO-TC-0005,Test,Verify date range filter on dashboard,Test covers: Dashboard. Verify date range filter on dashboard. Validates correct system behavior under Staging environment.,High,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Firefox 126, OS: iOS 17
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open dashboard
2. Click date range picker
3. Select custom range: last 30 days
4. Apply filter",All dashboard widgets refresh and show data for selected range.,,Date range: last 30 days
VWO-TC-0006,Test,Verify campaign list page loads under 2 seconds,Test covers: Performance. Verify campaign list page loads under 2 seconds. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Performance,"performance,load,speed","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login
2. Navigate to Campaigns
3. Measure page load time",Campaign list renders in under 2 seconds with 50+ campaigns.,,Account with 50+ campaigns
VWO-TC-0007,Test,Verify password change with correct current password,Test covers: Settings & Profile. Verify password change with correct current password. Validates correct system behavior under Pre-prod environment.,High,To Do,Settings,"settings,profile,account","1. VWO account is active (Viewer role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to Settings > Security
2. Enter current password
3. Enter new password 'NewPass@123'
4. Confirm new password
5. Save",Password updated. Success message shown. Old password no longer works.,,"Current: Test@1234, New: NewPass@123"
VWO-TC-0008,Test,Verify heatmap device filter (desktop/mobile/tablet),Test covers: Heatmaps. Verify heatmap device filter (desktop/mobile/tablet). Validates correct system behavior under Staging environment.,Medium,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap
2. Click device filter dropdown
3. Select 'Mobile'",Heatmap updates to show only mobile user data. Page screenshot changes to mobile viewport.,,Mixed device traffic data
VWO-TC-0009,Test,Verify login session timeout after inactivity,Test covers: Login & Authentication. Verify login session timeout after inactivity. Validates correct system behavior under Pre-prod environment.,Low,To Do,Authentication,"login,auth,security","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login to VWO
2. Leave session idle for {timeout} minutes
3. Attempt to navigate to another page",Session expired. User redirected to login page with message 'Session expired'.,,Timeout: 30 minutes
VWO-TC-0010,Test,Verify dashboard is responsive on mobile viewport,Test covers: Dashboard. Verify dashboard is responsive on mobile viewport. Validates correct system behavior under Staging environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open app.vwo.com on mobile (375px)
2. Login
3. Observe dashboard layout",Dashboard adapts to mobile view. Widgets stack vertically. No horizontal scroll.,,Viewport: 375x812 (iPhone 14)
